Parliament,Session,speech
38th,1st,"For all that we as Canadians want to achieve, and for all that we want for others, we also need international institutions that work. Dealing with complex issues like the “responsibility to protect” and managing the global commons will require leadership from all continents—from North and South. For that reason, the Government will work to bring about a meeting of G20 leaders to address common and pressing concerns, such as how to improve public health systems, combat terrorism and reform our multilateral institutions."
38th,1st,GOVERNING IN COMMON PURPOSE
38th,1st,The Government’s agenda for this Parliament is based on a comprehensive strategy to build a prosperous and sustainable 21st-century economy for Canada; strengthen the country’s social foundations; and secure for Canada a place of pride and influence in the world.
38th,1st,"Supported by a committed and excellent public service, the Government will work diligently in this minority Parliament to address the priority areas it has identified. It will also introduce initiatives in many other areas, including commitments from the last Speech from the Throne, and will build on the work of Parliamentary committees, involve parliamentarians in the review of key appointments, and examine the need and options for reform of our democratic institutions, including electoral reform."
38th,1st,"The Government invites members from both Chambers to join with it in the same democratic spirit: committed to unity and the inclusion of all regions and all voices, ready to work in common purpose on behalf of Canada."
38th,1st,Members of the House of Commons:
38th,1st,You will be asked to appropriate the funds required to carry out the services and expenditures authorized by Parliament.
38th,1st,Honourable Members of the Senate and Members of the House of Commons:
38th,1st,"As you carry out your duties and exercise your responsibilities, may you be guided by Divine Providence."
38th,1st,Stay Connected
37th,1st,"Honourable Members of the Senate, Members of the House of Commons, Ladies and Gentlemen:"
37th,1st,"It is my great pleasure to greet you on this first day of the 37th Parliament since Confederation. The vital relationship that exists between the Canadian people and Parliament is what we celebrate today through history, custom and symbolism."
37th,1st,"I also have the pleasure of welcoming new members to the House of Commons, and I want all parliamentarians to know how deeply I appreciate the ideals that motivate you to serve your country. I also appreciate the sacrifices brought on by your task and made in the name of the common good and of leadership. And in a healthy democracy, leadership can come from everyone, because it is a sense of really knowing what you want and what you can contribute."
37th,1st,"A little more than a year ago, I became Canada’s 26th Governor General. I set out as the main objective of my first year in office to visit every province and territory and to meet as many Canadians as possible, wherever they live and make their lives — to engage in a true dialogue with them. I have seen many places that Canadians have decided to call home, from big cities to small hamlets, from the Island of Montreal to Ellesmere Island."
37th,1st,"But what we call home is more than a place name on a map. It is our belonging to a community of ideas and ideals; it is the knowledge that we can say something and be listened to, and the conviction that we can respect, rely upon and help each other."
37th,1st,"Meeting Canadians across the country has given me the opportunity to hear about the different challenges we face. Looking at these issues, we of course remember that we have demonstrated, time and time again, that we have the self-confidence to act, and to act successfully. Change does not frighten us — we have always harnessed it to our advantage."
37th,1st,"It is often said that our country’s strength lies in its diversity. Why is this so? Because diversity imposes serious responsibilities. Indeed, if we accept our place in a rich and successful society, we must also acknowledge and engage with the parts of our society that are less advantaged."
37th,1st,"The Government has been given a third mandate by Canadians. In leading Canada into the new millennium, its overarching goal will continue to be to build a stronger, ever more inclusive Canada and secure a higher quality of life for all Canadians. In pursuing this aim, the Government will carry out the commitments set out in its election platform."
37th,1st,"Canada is proud, optimistic and strong. The Government has achieved the critical objective of restoring the nation’s finances. The economy continues its longest period of economic expansion since the 1960s. Inflation and interest rates are low and stable. More than two million new jobs have been created since 1993. Significant new investments are being made in children and youth, in innovation and skills, in health care, and in the environment."
37th,1st,"As we enter this new century, Canada and Canadians face the challenges of competing in a faster-paced, technology-driven world economy. Of responding to economic uncertainty among our trading partners. Of continuing to strengthen the fabric of our society in an era of increasing globalization. And of advancing our Canadian interests and values in the international arena."
37th,1st,"We must ensure that every region, every province and territory, every community, and every citizen has a strong voice and can contribute to building our nation. To bring the benefits of our prosperity to all communities, whether urban, rural, Northern or remote. To promote innovation, growth and development in all parts of our economy, including our agricultural and resource sectors and our manufacturing and service industries."
37th,1st,"Canadians must rise to these challenges. Success in our more interdependent and complex world will require the contribution of all Canadians. The Government of Canada, for its part, will focus on:"
37th,1st,"In fulfilling its responsibilities, the Government of Canada will be guided by the values of Canadians. It will work with other levels of government, the private and voluntary sectors, and individual citizens."
37th,1st,"It will continue to set bold goals and work toward them in a pragmatic, step-by-step way. It will continue to be a prudent steward of the nation’s finances as it focusses on the priorities of Canadians. Its efforts will be affordable and sustainable. The Government reaffirms its commitment to balanced budgets."
37th,1st,"To assist the Government in fulfilling its responsibilities, Canada must have a public service distinguished by excellence and equipped with the skills for a knowledge economy and society. The Government will seek bright, motivated young women and men to accept the challenge of serving their country in the federal public service. The Government is committed to the reforms needed for the Public Service of Canada to continue evolving and adapting. These reforms will ensure that the Public Service is innovative, dynamic and reflective of the diversity of the country — able to attract and develop the talent needed to serve Canadians in the 21st century."
37th,1st,The Government will help to create opportunity for Canadians and ensure that opportunity is shared by all. This is the Canadian Way for the 21st century.
37th,1st,An innovative economy is essential to creating opportunity for Canadians.
37th,1st,An innovative economy is driven by research and development. It requires a highly skilled work force and investments in new technology. A business environment and tax policies that encourage smart risk taking and entrepreneurship and that reward success. An attractive environment for investment. And a strong global brand for Canadian excellence.
37th,1st,"An innovative economy is one where the benefits of new ideas are shared by every sector and every region — from East to West to North, from office workers to farm families."
37th,1st,"Canada has laid a solid foundation for success in the new economy. Our economic fundamentals are among the best in the world. Spiralling debt and deficits have been replaced by social and economic investments, tax cuts and debt repayments. On January 1st of this year, most elements of the Government’s comprehensive and broad-based package of $100 billion in tax relief took effect."
37th,1st,We are better positioned than at any time in the last three decades to seize the opportunities of the global economy and to weather a short-term slowing of growth experienced by Canada’s major trading partners.
37th,1st,Innovation
37th,1st,"To secure our continued success in the 21st century, Canadians must be among the first to generate new knowledge and put it to use."
37th,1st,"Our objective should be no less than to be recognized as one of the most innovative countries in the world. Achieving this will require a comprehensive approach and the support and participation of all governments, businesses, educational institutions, and individual Canadians."
37th,1st,"We must strive for Canada to become one of the top five countries for research and development performance by 2010. This is a challenge for all Canadians, but in particular for the private sector as the largest research investor in Canada."
37th,1st,"As its contribution, the Government will at least double the current federal investment in research and development by 2010. In making new investments, the Government will:"
37th,1st,"New federal investments will include strategically targetted research that is co-ordinated with partners. These investments will directly benefit Canadians in areas such as health, water quality, the environment, natural resources management, and oceans research. Among its investments, the Government will increase support for the development of new technologies to assist Canadians with disabilities."
37th,1st,"Research in life sciences will benefit all of Canada, particularly our agricultural and rural economies. The Government will help Canada’s agricultural sector move beyond crisis management — leading to more genuine diversification and value-added growth, new investments and employment, better land use, and high standards of environmental stewardship and food safety."
37th,1st,Skills and Learning
37th,1st,Canada will only realize its full potential by investing aggressively in the skills and talents of its people.
37th,1st,"To succeed in the knowledge economy, Canada will need people with advanced skills and entrepreneurial spirit. Canada’s youth are optimistic, technologically savvy, globally connected and the most highly educated generation in our history. The Government will continue to help young Canadians contribute to their country, gain employment, and apply their business and creative skills."
37th,1st,"Building a skilled work force must be a national effort. The Government of Canada will work with provinces and territories and with non-governmental organizations to ensure that all Canadians, young and old, can achieve their learning goals. Canada must see at least one million more adults pursue learning opportunities during the next five years."
37th,1st,"The Government will also help adults who want to improve their skills, but who may face difficulty in finding the time or resources to do this while providing for themselves and their families. It will create Registered Individual Learning Accounts to make it easier for Canadians to finance their learning. And it will improve the loans that are available to part-time students, so more workers can learn while they earn."
37th,1st,Some Canadians face particular challenges in upgrading their skills and enhancing their education. The Government will take steps to make it easier for them to access skills and learning.
37th,1st,Immigrants have enriched Canada with their ideas and talents. The Government will take steps to help Canada attract the skilled workers it needs. It will also work in co-operation with the provinces and territories to secure better recognition of the foreign credentials of new Canadians and their more rapid integration into society. The Government will re-introduce changes to immigration legislation to streamline and improve the immigration system.
37th,1st,Connecting Canadians
37th,1st,"The Government has helped to make Canada one of the most connected countries in the world, yet the speed of change continues to accelerate. Canada must continue to develop and strengthen its information infrastructure."
37th,1st,"The private sector today is expanding high-speed access to the Internet in many regions. The National Broadband Task Force will advise the Government on how Canadians together can achieve the critical goal of making broadband access widely available to citizens, businesses, public institutions and to all communities in Canada by 2004."
37th,1st,"The Government will continue to support the Community Access Program and SchoolNet, ensuring that Canadians, their communities and their schools can have an on-ramp to the information highway. These programs are critical to Canada’s effort to close the digital divide, particularly in rural, remote, Northern and Aboriginal communities. The Government will also enhance SchoolNet, focussing on creating more and better learning content on-line."
37th,1st,"The Government will continue to work toward putting its services on-line by 2004, to better connect with citizens."
37th,1st,It will also modernize federal privacy law to safeguard the personal information of Canadians and provide better copyright protection for new ideas and knowledge.
37th,1st,Trade and Investment
37th,1st,"The Government’s investments in innovation, skills and connectivity, as well as its reduction of corporate taxes and improved treatment of capital gains, are making Canada one of the most attractive places to invest and to do business. In addition, the Government will:"
37th,1st,"The Government will work closely with the United States, Canada’s most important trading partner, to maintain secure and efficient access to each other’s markets. It will continue the joint work begun to modernize the shared border."
37th,1st,"At the Third Summit of the Americas in Quebec City this April, the Government will advance work toward creating the Free Trade Area of the Americas."
37th,1st,"The Government will also launch a branding strategy to raise awareness of the advantages of investing in Canada. As part of this effort, the Government will continue its successful Team Canada trade missions and launch Investment Team Canada missions to the United States and Europe."
37th,1st,The Canadian Way recognizes that economic and social success must be pursued together. We cannot build a prosperous society in the absence of economic growth. We cannot lead in innovation and new ideas without healthy and secure citizens. We must not pursue our interests in the world without strengthening our distinct culture and values here at home.
37th,1st,"Nowhere is the creation and sharing of opportunity more important than for Aboriginal people. Too many continue to live in poverty, without the tools they need to build a better future for themselves or their communities. As a country, we must be direct about the magnitude of the challenge and ambitious in our commitment to tackle the most pressing problems facing Aboriginal people. Reaching our objectives will take time, but we must not be deterred by the length of the journey or the obstacles that we may encounter along the way."
37th,1st,"The Government is committed to strengthening its relationship with Aboriginal people. It will support First Nations communities in strengthening governance, including implementing more effective and transparent administrative practices. And it will work to ensure that basic needs are met for jobs, health, education, housing and infrastructure. This commitment will be reflected in all the Government’s priorities."
37th,1st,Children and Families
37th,1st,"Securing a good start in life for children is the only way to ensure that they are ready to learn, to seize opportunity as adults, and to contribute to the building of their country."
37th,1st,"There was a time in Canada when retirement often meant facing a new life of hardship. A generation ago, Canadians set a national goal to eliminate poverty among seniors, and we have made significant progress."
37th,1st,"There was a time in this country when falling sick meant risking one’s life savings. Working together, Canadians built a national, publicly funded health care system to ensure access to quality care for every citizen regardless of income."
37th,1st,There was a time when losing a job also meant immediate loss of income for workers and their families. And so Canadians created Employment Insurance.
37th,1st,Now Canadians must undertake another national project — to ensure that no Canadian child suffers the debilitating effects of poverty.
37th,1st,Canadians and their governments have already taken significant steps in this direction.
37th,1st,A strong economy and job creation have been essential to reducing poverty and ensuring that families have the resources to care for their children. But economic growth alone is not enough. Governments also have a key role to play in helping families left behind and in providing support to families and children.
37th,1st,All governments have put in place a range of measures to help families and children. The National Child Benefit is the cornerstone of our collective efforts to provide children with a better start. It is the single most important social program to be introduced in this country since medicare in the 1960s. The Government of Canada’s contribution to the National Child Benefit will continue to rise over the next four years.
37th,1st,"Most recently, the Government of Canada and provinces and territories launched the Early Childhood Development initiative to expand and improve access to services for all families and children. The Government of Canada is investing more than $2 billion in this initiative over five years. As part of this agreement, governments will begin reporting to Canadians on the outcomes of their programs and services for children. These reports will give the Government of Canada and its partners the information they need to take whatever additional steps are necessary to provide Canadian children with a better start in life."
37th,1st,The Government of Canada will also take immediate action with its partners where the challenges are greatest.
37th,1st,Good Health and Quality Care
37th,1st,A healthy Canadian society is built on the health and well-being of individual Canadians and the health of our communities.
37th,1st,"Canadians place a high priority on good health and on their health care system. We know that our system of medicare, which ensures access to needed services regardless of income or place of residence, is vital to our quality of life. It is a Canadian advantage and deeply valued by all citizens."
37th,1st,The Government of Canada will uphold the Canada Health Act. It will work with the provinces and territories to ensure that all governments continue to fulfil their commitment to the principles of medicare.
37th,1st,"Governments in Canada have come together to strengthen and renew Canada’s health care system. Last September, First Ministers affirmed the commitment of their governments to the principles of the Canada Health Act and endorsed a health action plan that will enable them to move forward in building a modern, integrated and sustainable health system for Canadians."
37th,1st,"Over the next three years, governments will take concrete action to reform and support innovation in primary care, to adopt modern health information technologies, and to purchase needed diagnostic and medical equipment. For its part, the Government of Canada is committing more than $21 billion in new funding to the provinces and territories over five years through the Canada Health and Social Transfer."
37th,1st,The Government will also champion community-based health promotion and disease prevention measures.
37th,1st,"Building on the health action plan’s commitment to public reporting, the Government of Canada will work with the provinces and territories to create a citizens’ council on health care quality. This council will ensure that the public’s perspective is considered in developing meaningful indicators of health system performance."
37th,1st,"As public reporting begins on how the health system is meeting the needs of Canadians, governments will use this information to continue to move forward with the renewal of medicare."
37th,1st,A Clean Environment
37th,1st,Canada is blessed by the beauty of its vast landscape and the wealth of its natural resources. But with this blessing comes the responsibility to ensure its preservation. A healthy environment is an essential part of a sustainable economy and our quality of life.
37th,1st,"The Government’s focus will be on the three priorities of clean air, clean water, and the conservation of Canada’s natural spaces."
37th,1st,"Last December, the Government of Canada signed an agreement with the United States to significantly reduce the emissions that cause smog. This agreement will lead to a 90 percent reduction in smog-causing vehicle emissions by 2010, bringing cleaner air to millions of citizens in both countries. The Government will move quickly to implement this agreement and other measures, working with the provinces and territories to achieve cleaner air. "
37th,1st,"It is Canada’s responsibility, as steward of one of the world’s largest supplies of fresh water, to protect this critical resource. Safeguarding our water is a shared task among governments, industry and individual Canadians. The Government of Canada will fulfil its direct responsibilities for water, including the safety of water supplies on reserves and federal lands."
37th,1st,"Canadians are the guardians of a significant percentage of the world’s wilderness and wildlife. The Government will invest in the creation of new national parks and implement a plan to restore existing parks to ecological health. It will work with its partners toward more integrated, sustainable management of Canada’s oceans. And it will re-introduce legislation for marine conservation areas and to protect species at risk."
37th,1st,"As part of its efforts to promote global sustainable development, the Government will ensure that Canada does its part to reduce greenhouse gas emissions. It will work with its provincial and territorial partners to implement the recently announced first national business plan on climate change."
37th,1st,"To safeguard Canadians from toxic substances and environmental contaminants, the Government will also strengthen laws, research efforts and other measures for health protection. This will include the development of appropriate standards that reflect the special vulnerabilities of children."
37th,1st,Strong and Safe Communities
37th,1st,Strong and safe communities are an essential part of the fabric of our society. They are critical to providing Canadians with the security to build a better future for themselves and their families. They are also important to attracting talented people from around the world to come and make their home here.
37th,1st,"Canadian communities of all sizes — whether urban or rural, Aboriginal or multicultural — face diverse challenges and have unique needs. The Government of Canada will strive to ensure that, wherever possible, its actions and programs are co-ordinated to help build local solutions to local challenges. It will work with partners across Canada to launch a dialogue on the opportunities and challenges facing urban centres. It will co-operate with provincial and municipal partners to help improve public transit infrastructure. And it will help to stimulate the creation of more affordable rental housing."
37th,1st,Ensuring that Canada’s communities are safe is an important element of fostering and attracting the talented people needed for success in the new economy. Crime rates in Canada have fallen steadily for almost a decade.
37th,1st,"The Government of Canada will continue to work with provinces and territories, communities, and all its partners to implement a balanced approach to addressing crime — focussing on prevention as much as punishment, strengthening penalties for serious crime, and considering the needs of victims."
37th,1st,"The Government will focus on safeguarding Canadians from new and emerging forms of crime. It will take aggressive steps to combat organized crime, including the creation of stronger anti-gang laws and measures to protect members of the justice system from intimidation. It will provide enhanced law enforcement tools to deal with emerging threats to security, such as cybercrime and terrorism. It will act to safeguard children from crime, including criminals on the Internet. The Government will take steps to ensure that our laws protect children from those who would prey on their vulnerability."
37th,1st,"The Government will re-introduce legislation to change how the justice system deals with young offenders. It will encourage alternatives to custody for non-violent offenders, emphasizing rehabilitation and re-integration into society, while toughening consequences for more violent youth."
37th,1st,"Working with the provinces, territories and communities, the Government of Canada will strengthen the capacity of local communities to deal with conflict, prevent crime, and address drug abuse."
37th,1st,"It is a tragic reality that too many Aboriginal people are finding themselves in conflict with the law. Canada must take the measures needed to significantly reduce the percentage of Aboriginal people entering the criminal justice system, so that within a generation it is no higher than the Canadian average."
37th,1st, 
37th,1st,Vibrant Canadian Culture
37th,1st, 
37th,1st,"Canada is defined by far more than its political boundaries or economic relationships. In these times of rapid change and globalization, it is more important than ever that we know who we are as Canadians and what brings us together."
37th,1st,"The focus of our cultural policies for the future must be on excellence in the creative process, diverse Canadian content, and access to the arts and heritage for all Canadians."
37th,1st,"Both the English and French networks of the Canadian Broadcasting Corporation have long been cornerstones of Canadian cultural policy. The CBC helps connect Canadians to each other, their history and their country. It reaches all parts of Canada, from big cities to small towns to Northern and Aboriginal communities. It provides a distinctive Canadian voice in both official languages and important opportunities for our creative people. The Government will increase its support to help the CBC fulfil its distinct role as a public broadcaster serving all Canadians."
37th,1st,The Government will assist the book-publishing and sound-recording sectors to make the transition to the new economy. It will continue to support the development of digital content for the Internet and other new media in French and English. And it will work to expand international markets for Canadian cultural products and services.
37th,1st,"Communities across Canada are increasingly recognizing the importance of arts and heritage for their quality of life and ability to attract talent, investment and tourism. The Government of Canada will continue to work with the private and not-for-profit sectors and other governments to strengthen Canada’s cultural infrastructure. It will help communities to develop arts and heritage programs that are sustainable and relevant to their diverse circumstances and aspirations."
37th,1st,"The well-being of Canada and Canadians depends on global human security, prosperity and development."
37th,1st,The Government of Canada is committed to working with its international partners to promote international peace and security by enhancing the mechanisms for conflict prevention and resolution. It will work to strengthen global governance as well as existing and new multilateral institutions. These include the G-20 — a new forum of which Canada is the first chair — which is striving to enhance the stability of the world economy and ensure that globalization benefits all its participants.
37th,1st,"The Government will increase Canada’s official development assistance and use these new investments to advance efforts to reduce international poverty and to strengthen democracy, justice and social stability worldwide."
37th,1st,"Canadians have become leaders in harnessing the power of technology to build a more inclusive society. This experience serves as a powerful model for the world. Through its participation on the Digital Opportunities Task Force established by the G-8 nations and through its own investments in developing countries, Canada will contribute to closing the global digital divide."
37th,1st,"The Government will continue Canada’s proud record of peacekeeping. In Budget 2000, the Government provided funding increases for the Canadian Forces to help ensure that they are equipped and prepared to respond quickly to calls for help at home and abroad."
37th,1st,"The Summit of the Americas this year presents an exceptional opportunity to promote a balanced and coherent vision for deepening co-operation among the nations of the Western hemisphere. The summit declaration and action plan will support Canada’s interest in strengthening democracy and human rights, expanding commerce through the Free Trade Area of the Americas initiative, increasing people’s access to the benefits of growth, and providing opportunities for all nations in the Americas to improve the quality of life of their citizens."
37th,1st,"At the Summit of the Americas and as chair of the G-8 in 2002, Canada will work to expand opportunities for more countries to participate in the benefits of globalization, while pressing for peace and security in the world."
37th,1st,Canada was born of a noble vision and an act of will.
37th,1st,Our Canadian citizenship has been built over time through the experiences we have shared . . .
37th,1st,". . . when together we celebrate the successes of our scientists, scholars, athletes and artists, our leaders on the world stage, and our peacekeepers. And when we remember and honour our war veterans."
37th,1st,. . . when we visit other parts of our country or when we travel abroad and see ourselves through the eyes of others.
37th,1st,. . . when every year thousands of new Canadians stand proudly with their families to take on the responsibilities of Canadian citizenship.
37th,1st,. . . when we come together to help each other in tough times. And when millions of Canadians volunteer their time and energy to make their communities a better place.
37th,1st,"The Government will help Canadians to strengthen their bonds of mutual understanding and respect, to celebrate their achievements and history, and to exercise their shared citizenship."
37th,1st,"The institutions of Government will continue to be strengthened. Since 1993, the Government has taken a range of measures to enable members of Parliament to more effectively represent the views of their constituents. MPs have participated in pre-budget consultations, at the end of which recommendations were made to the Government. Moreover, private members’ bills from the House and Senate have been taken into account more often and considered with greater attention than at any time in the past."
37th,1st,"In this new session of Parliament, the Government will make further proposals to improve procedures in the House and Senate. Among other measures, voting procedures will be modernized in the House of Commons and, to assist parliamentarians in carrying out their duties, the Government intends to increase the resources of the Library of Parliament to better serve the research needs of standing committees of the House and Senate."
37th,1st,Every Canadian is called upon to make a contribution to building our country. To ensure that the promise of Canada becomes an even greater reality in the 21st century. And to ensure that our Canadian Way remains the best example of what is possible when women and men of every race and creed come together in community in search of a better future.
37th,1st,Members of the House of Commons:
37th,1st,You will be asked to appropriate the funds required to carry out the services and expenditures authorized by Parliament.
37th,1st,Honourable Members of the Senate and
37th,1st,Members of the House of Commons:
37th,1st,May Divine Providence guide you in your deliberations.
37th,1st, 
37th,1st,Stay Connected
37th,2nd,"Honourable Members of the Senate,Members of the House of Commons,Ladies and Gentlemen:"
37th,2nd,"It is a pleasure to greet you in the Jubilee Year of Her Majesty Queen Elizabeth II, whom we will be welcoming to Canada very shortly."
37th,2nd,"We also mark this year the 50th anniversary of Canadian Governors General. To celebrate this, we invited to Rideau Hall an energetic group of one hundred 17- and 18-year-olds from every province and territory to participate in a Youth Forum on creating community. In Gaspé, in Nunavut, on Haida Gwaii, all across the country, we are meeting young people who are becoming catalysts for change, as they take their place as leaders in the fields they choose."
37th,2nd,"It is exciting and encouraging to hear what young people are saying and what they are doing. Already, they are innovative. They are diverse. And they will change things. Some of them will do so through journalism, the arts, business or the labour movement. Others will devote themselves to civic and public life, perhaps becoming in time your successors, to carry on the democratic traditions of Parliament to which you are committing your lives. Nothing is more precious and valuable than our way of creating a society through the exercise of our democratic rights as citizens."
37th,2nd,"And the sacrifices that some of our citizens make are deeply appreciated by their country. My trip in April to Germany, where our fallen and injured were brought from the tragic incident in Afghanistan, was emotionally shared by all Canadians, many of whom have expressed how much the sacrifice of these men has meant to them."
37th,2nd,"This kind of contribution, this kind of democratic participation, this kind of nurturing of young leadership make us what we are as a nation. It is a very precious life that we share as Canadians. And we must be prepared not only to praise it, but also to make sacrifices for it."
37th,2nd,"Canadians today are confident about their personal prospects and Canada’s future. Less than ten years ago, our economy was in decline, our deficit and debt were rising out of control, our unity was under threat, our confidence was shaken."
37th,2nd,"Today, because of our collective efforts, we have new opportunities, new possibilities and new choices for the Canada we want."
37th,2nd,"We have established the foundations for great success: fiscal sovereignty, a unified country and a confident people. We will not put at risk the accomplishments of the last decade. We will continue to be prudent and live within our means."
37th,2nd,"Maintaining our fiscal sovereignty and a dynamic economy allows us to reach higher. To find new solutions to enduring problems. To set new goals and ambitious targets. To take responsibility for building the Canada we want, for ourselves and for future generations."
37th,2nd,"We now have a generation of Canadians who have grown up in the Internet world, a generation of Canadians who are global, at ease with change and diversity, optimistic and eager to create, innovate and excel. And who believe they can achieve their aspirations in Canada. Canada must tap into and unleash this energy."
37th,2nd,The goal of the government is nothing less than making Canada a land of ever-widening opportunity. Ensuring that the benefits of the new economy touch every community and lift every family and every Canadian.
37th,2nd,"Working together, we can put in place the health care system for the 21st century. We can get Canada’s children off welfare. We can close the gap in life chances between Aboriginal and non-Aboriginal Canadians. We can tackle the challenge of climate change. We can be a world leader in innovation and learning, a magnet for talent and investment. We can build world-class cities and healthy communities. We can strengthen the bonds of shared citizenship and the partnership between government and Canadians. We can secure our place in North America and in the world as a mature country, confident in who we are and where we are headed."
37th,2nd,This is the time for Canada.
37th,2nd,Canada and the World
37th,2nd,We live in uncertain times. The events of September 11 demonstrated that our progress at home can be affected in a moment by world events. We see unrest in many parts of the world. We still see far too much poverty.
37th,2nd,"The government will continue to work with its allies to ensure the safety and security of Canadians. Canada will continue to work through organizations such as the United Nations to ensure that the rule of international law is respected and enforced. At the same time, the government will remain vigilant and ready to ensure the protection of Canadians from emerging threats, and will work with the United States to address our shared security needs."
37th,2nd,"But there is more we can do. Canada has a long history of contributing solutions to global problems. We will continue to speak out in every forum for the values of pluralism, freedom and democracy, and contribute to reducing the growing global divide between rich and poor. We will double our development assistance by the year 2010, and earmark at least half of that increase for Africa as part of Canada’s support for the New Partnership for Africa’s Development. As of January 1, 2003, Canada will eliminate tariffs and quotas on almost all products from the least-developed countries."
37th,2nd,"In the face of rapid change and uncertainty, the government must engage Canadians in a discussion about the role that Canada will play in the world. Before the end of this mandate, the government will set out a long-term direction on international and defence policy that reflects our values and interests and ensures that Canada’s military is equipped to fulfill the demands placed upon it."
37th,2nd,Putting in Place the Health Care System for 21st Century
37th,2nd,No issue touches Canadians more deeply than health care. Our health care system is a practical expression of the values that define us as a country. Of the willingness of Canadians to share risk and accept responsibility for one another.
37th,2nd,"In 2000, all First Ministers reached an agreement on health care that reinforced our collective commitment to the principles of medicare, to working collaboratively to reform our system and to measure and report on our progress. Resources were provided. Work is proceeding. And the first public report is now available."
37th,2nd,"Building on this work, Roy Romanow was appointed to lead a commission on the longer-term future of Canada’s publicly funded health care system. He will report in November."
37th,2nd,"The Prime Minister will convene a First Ministers Meeting early in 2003 to put in place a comprehensive plan for reform, including enhanced accountability to Canadians and the necessary federal long-term investments, which will be included in the next budget."
37th,2nd,"At the same time, the government will move ahead with an action plan in health policy areas under its direct responsibility. Under this plan, it will renew federal health protection legislation to better address emerging risks, adapt to modern technology and emphasize prevention. The government will take steps to strengthen the security of Canada’s food system and reintroduce pesticides legislation to protect the health of Canadians, particularly children. It will work with its partners to develop a national strategy for healthy living, physical activity and sport, and will convene the first ever national summit on these issues in 2003. The government will take further action to close the gap in health status between Aboriginal and non-Aboriginal Canadians by putting in place a First Nations Health Promotion and Disease Prevention strategy with a targeted immunization program, and by working with its partners to improve health care delivery on-reserve."
37th,2nd,"The government will also modify existing programs to ensure that Canadians can provide compassionate care for a gravely ill or dying child, parent or spouse without putting their jobs or incomes at risk."
37th,2nd,Helping Children and Families out of Poverty
37th,2nd,"Five years ago, Canada’s governments launched the National Children’s Agenda, engaging Canadians in every part of the country on how to ensure that all Canadian children have a good start in life; that families with children have the tools they need to provide care and nurturing."
37th,2nd,"No investments have greater payoff. No investments do more to break the cycle of poverty and dependency, and to maximize the potential of every Canadian."
37th,2nd,"The government will put in place a long-term investment plan to allow poor families to break out of the welfare trap so that children born into poverty do not carry the consequences of that poverty throughout their lives. It will again significantly increase the National Child Benefit for poor families, and will work with its partners to increase access to early learning opportunities and to quality child care, particularly for poor and lone-parent families. It will also put in place targeted measures for low-income families caring for severely disabled children, to help meet the needs of the child and of the family."
37th,2nd,"The government will take additional measures to address the gap in life chances between Aboriginal and non-Aboriginal children. It will put in place early childhood development programs for First Nations, expanding Aboriginal Headstart, improving parental supports and providing Aboriginal communities with the tools to address fetal alcohol syndrome and its effects. The most enduring contribution Canada can make to First Nations is to raise the standard of education on-reserve. The government will work with the recently created National Working Group on Education to improve educational outcomes for First Nations children, and take immediate steps to help First Nations children with special learning needs."
37th,2nd,"Parents have the primary responsibility for providing their children with the tools to learn and develop. But Canadians also have a collective responsibility to protect Canada’s children from exploitation in all its forms, and from the consequences of family breakdown."
37th,2nd,"The government will therefore reform the Criminal Code to increase the penalties for abuse and neglect, and provide more sensitive treatment for children who take part in justice proceedings as victims or as witnesses. It will also reform family law, putting greater emphasis on the best interests of the child; expand the Unified Family Courts; and ensure that appropriate child and family services are available."
37th,2nd,The Challenge of Climate Change and the Environment
37th,2nd,"Canadians know that our health and the health of our children, the quality of life in our communities and our continued economic prosperity depend on a healthy environment."
37th,2nd,"On a global scale, the problem of climate change is creating new health and environmental risks and threatens to become the defining challenge for generations to come."
37th,2nd,"As a northern country, Canadians will feel some of the effects of climate change sooner than will others. As a prosperous country, we must and will do our part."
37th,2nd,"As part of the Kyoto Protocol, Canada agreed to obligations to reduce greenhouse gas emissions by 2012. Extensive consultations and preparatory work followed. The government is now intensifying consultations with Canadians, industry and provinces to develop an implementation strategy to meet Canada’s obligations over the next ten years. Before the end of this year, the government will bring forward a resolution to Parliament on the issue of ratifying the Kyoto Protocol on Climate Change. Meeting this challenge must become a national project, calling upon the efforts and contributions of all Canadians, in all regions and sectors of the economy—producers and consumers, governments and citizens."
